Day;Citizens;Avg. salary;Water price;Bread price;
1;10;4444.0;100.0;100.0;
11;20;2257.9;54.1578947368421;93.42105263157895;
21;40;86.575;37.31578947368421;48.026315789473685;
31;80;35.175;26.0;18.0;
41;160;8.6;10.302631578947368;10.335526315789474;
51;317;11.365930599369085;10.223684210526315;10.594377510040161;
61;625;13.1536;10.361510791366907;11.0;
71;782;18.18925831202046;10.413642960812773;24.0;
81;1092;31.141025641025642;18.5;61.0;
91;1018;95.42436149312377;45.8;168.8;
101;800;173.34;118.14060742407199;225.60236220472441;
111;591;285.8172588832487;137.16101694915255;251.03021148036254;
121;622;289.39549839228295;140.21001615508885;274.45454545454544;
131;639;288.0234741784038;169.08074534161491;272.03076923076924;
141;571;307.5148861646235;191.82042253521126;225.34265734265733;
151;607;312.8154859967051;192.25666666666666;225.70987654320987;
161;637;307.56828885400313;230.91717791411043;209.86919831223628;
171;575;344.37565217391307;235.60072595281306;179.1685082872928;
181;653;331.13169984686067;269.47527910685807;181.1764705882353;
191;569;360.27592267135327;279.68279569892474;153.38275862068966;
201;621;356.6328502415459;301.22528363047;149.81140350877192;
211;572;394.76223776223776;310.5907473309609;133.31304347826088;
221;607;388.82372322899505;337.75757575757575;143.86617100371748;
231;587;410.0442930153322;334.04340277777777;147.76971608832807;
241;584;408.7859589041096;350.7039586919105;137.77898550724638;
251;557;428.1310592459605;347.9801801801802;138.64923076923077;
261;634;414.6056782334385;367.0508196721311;137.18429003021149;
271;584;430.30479452054794;373.478417266187;135.25079365079364;
281;600;440.4433333333333;375.00677966101694;147.0142857142857;
291;613;449.33278955954324;375.3823038397329;154.17966101694915;
301;576;452.55034722222223;391.2300884955752;135.378125;
311;630;439.16190476190474;391.976430976431;149.01973684210526;
321;611;454.4288052373159;391.9155405405405;150.29616724738676;
331;611;462.6546644844517;391.76149914821127;173.9248120300752;
341;575;462.30434782608694;398.44846292947557;172.728;
351;577;478.80242634315425;398.51063829787233;173.53024911032028;
361;613;471.31973898858075;399.3526405451448;176.9496644295302;
371;583;479.5025728987993;399.1394148020654;173.05841924398626;
381;581;497.04819277108436;398.9583333333333;209.65168539325842;
391;579;487.0103626943005;399.0311418685121;213.72692307692307;
401;569;508.45869947275924;398.35714285714283;235.6236559139785;
411;556;508.55575539568343;398.39572192513367;230.51574803149606;
421;560;511.55535714285713;398.31842576028623;245.77978339350182;
431;575;507.3286956521739;398.58657243816253;244.65371024734984;
441;556;528.7428057553957;397.96363636363634;246.12460063897763;
451;567;497.86067019400355;398.58657243816253;250.776;
461;543;539.1436464088398;397.63837638376384;277.19354838709677;
471;548;519.9689781021898;398.12274368231044;271.8524590163934;
481;543;538.3480662983426;397.30337078651684;304.5212355212355;
491;517;557.2340425531914;396.6023166023166;303.7292418772563;
501;574;526.6811846689895;398.8111888111888;303.1343873517786;
511;538;553.6933085501859;397.5139146567718;303.7292418772563;
521;551;532.611615245009;397.72058823529414;311.531746031746;
531;504;573.1666666666666;387.73161033797214;329.50191570881225;
541;449;546.3518930957683;383.26133909287256;323.5662100456621;
551;492;548.400406504065;365.2663934426229;329.58736059479554;
561;510;530.2333333333333;382.9351669941061;327.01209677419354;
571;544;534.2444852941177;353.0970149253731;328.2906976744186;
581;557;513.8922800718133;352.78014184397165;328.893536121673;
591;546;523.0860805860806;351.30258302583024;329.35955056179773;
601;532;514.1466165413534;351.03538175046555;326.60816326530613;
611;550;531.7327272727273;351.03538175046555;332.07849829351534;
621;561;509.6417112299465;352.3730017761989;329.1283018867924;
631;561;518.6737967914438;352.02517985611513;330.78214285714284;
641;550;514.4254545454545;352.175313059034;328.04296875;
651;571;504.6602451838879;352.7600700525394;327.5357142857143;
661;548;525.978102189781;351.9241877256318;330.6774193548387;
671;570;510.5280701754386;352.42198581560285;328.893536121673;
681;558;511.1254480286738;352.175313059034;328.893536121673;
691;546;521.474358974359;351.4605504587156;330.2509090909091;
701;569;515.9156414762741;352.175313059034;329.35955056179773;
711;568;502.77640845070425;352.8076923076923;329.0113636363636;
721;537;530.1042830540038;350.9813432835821;330.5719424460432;
731;598;494.09698996655516;353.6818950930626;326.87854251012146;
741;525;546.2133333333334;350.4857685009488;331.9828767123288;
751;560;491.43035714285713;352.0754039497307;349.2707423580786;
761;507;542.9289940828403;349.3214990138067;352.86281588447656;
771;555;517.9603603603604;351.7713248638838;352.5477941176471;
781;551;521.7658802177858;352.02517985611513;352.4185185185185;
791;553;526.7938517179024;351.82246376811594;352.73818181818183;
801;562;512.3434163701068;352.225;350.5450819672131;
811;546;532.4542124542124;351.61678832116786;351.7423076923077;
821;563;513.0515097690941;352.3730017761989;350.1380753138075;
831;543;526.633517495396;351.40808823529414;351.6007751937984;
841;545;529.1963302752293;351.40808823529414;365.8037735849057;
851;511;522.4246575342465;350.08846153846156;365.33609958506224;
861;510;534.3411764705883;315.14741035856576;366.27814569536423;
871;513;505.68810916179336;345.792523364486;370.2927927927928;
881;490;553.065306122449;313.6464435146444;382.35504885993487;
891;560;499.3732142857143;332.6448763250883;376.09615384615387;
901;515;529.5456310679612;314.9368836291913;379.03793103448277;
911;493;523.8559837728195;354.75098039215686;370.2699115044248;
921;518;541.3474903474903;311.778431372549;379.8691275167785;
931;527;514.2447817836812;361.74632352941177;370.5635593220339;
941;529;535.2873345935727;318.50485436893206;381.44884488448844;
951;522;513.6379310344828;361.1224862888483;369.18636363636364;
961;518;526.0791505791506;336.5876494023904;360.5698924731183;
971;521;521.8752399232245;359.0399239543726;356.46530612244896;
981;544;526.2352941176471;346.3308270676692;368.43373493975906;
991;523;529.1835564053538;344.67977528089887;364.5275590551181;
